city,date,price_local,currency,hpi,income,median_multiple,country,rate,monthly_payment,mdsr
New York,2021-05,509541.9291472908,USD,237.484397027918,74155.6,6.871253541840276,USA,2.9625,2137.957747384938,0.34596838227482823
New York,2021-06,513941.7833501156,USD,239.535055987657,74230.0,6.923639813419313,USA,2.975,2159.875911962101,0.34916490561154806
New York,2021-07,519378.6766523168,USD,242.069052217838,74660.1095890411,6.956575332010406,USA,2.868,2152.9202221534515,0.3460354238434387
New York,2021-08,524231.01667433616,USD,244.330603188201,75104.55616438357,6.980016172746381,USA,2.8425,2165.8988568952236,0.346061379097373
New York,2021-09,528807.7903307469,USD,246.463719758107,75549.00273972603,6.999533695402219,USA,2.9,2201.0565606689283,0.34960989252262525
New York,2021-10,533576.796232375,USD,248.686430836793,75979.11232876712,7.02267741591333,USA,3.0675,2269.0523508181195,0.35836991740568364
New York,2021-11,539392.3563809755,USD,251.396913951659,76423.5589041096,7.057932974016082,USA,3.0675,2293.783205907176,0.36016902203446016
New York,2021-12,546824.271687553,USD,254.860738662412,76853.66849315069,7.115135587005672,USA,3.098,2334.4353450922504,0.3645008064072255
New York,2022-01,553762.742417045,USD,258.094581538202,77298.11506849315,7.163987659031025,USA,3.4450000000000003,2469.6720110974416,0.38339957069986835
New York,2022-02,563055.687870806,USD,262.425784568722,77742.56164383562,7.242566696610155,USA,3.7625,2611.594027199588,0.40311417148781337
New York,2022-03,569696.5643259916,USD,265.520926401968,78143.99726027397,7.290343267551377,USA,4.172,2776.6117417234627,0.4263838819212808
New York,2022-04,577872.8442129699,USD,269.331680312132,78588.44383561643,7.3531529065737375,USA,4.9825,3095.9688269913786,0.4727365005675218
New York,2022-05,584438.4594807893,USD,272.391744840295,79018.55342465754,7.396218155752984,USA,5.2299999999999995,3220.054842214537,0.48900740942337634
New York,2022-06,589843.0875829005,USD,274.910703089988,79463.0,7.422864573234091,USA,5.522,3357.2103820539955,0.5069846920535085
New York,2022-07,590842.2970089155,USD,275.376408921967,79675.79452054795,7.415580861971078,USA,5.4125,3322.373121568602,0.5003838078896266
New York,2022-08,590826.8741978102,USD,275.369220746105,79895.68219178083,7.3949787771959326,USA,5.2225,3252.511644815948,0.4885137552753327
New York,2022-09,588355.325406942,USD,274.217295377948,80115.5698630137,7.343832496142092,USA,6.112,3569.964280550157,0.5347221699833316
New York,2022-10,587591.0646096936,USD,273.861093063233,80328.36438356164,7.314864047324459,USA,6.9,3869.8755305925242,0.5781084517714075
New York,2022-11,588160.8827145685,USD,274.126670636561,80548.25205479452,7.301969536402362,USA,6.805,3836.3280532462236,0.5715324102581126
New York,2022-12,588289.3854418742,USD,274.186562455006,80761.04657534247,7.284320973887522,USA,6.364,3665.929009210358,0.544707504124339
